strain,country,location,date,day_occurence,lon,lat
Netherlands/NoordBrabant_39/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/Berlicum_1363564/2020,Netherlands,"Berlicum, Netherlands",2020-02-24,62,5.416808422410202,51.673391300000006
Finland/FIN03032020C/2020,Finland,"?, Finland",2020-03-03,70,25.9209164,63.2467777
Netherlands/ZuidHolland_23/2020,Netherlands,"?, Netherlands",2020-03-09,76,5.7480821,52.5001698
Netherlands/Utrecht_15/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/Utrecht_14/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/Limburg_5/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/ZuidHolland_2/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_3/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/Utrecht_1/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Eindhoven_1363782/2020,Netherlands,"Eindhoven, Netherlands",2020-03-02,69,5.450122521857143,51.44855695
Netherlands/ZuidHolland_6/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/Limburg_3/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Utrecht_2/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/ZuidHolland_20/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/ZuidHolland_18/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/ZuidHolland_19/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
Netherlands/NoordBrabant_36/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/ZuidHolland_15/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/Rotterdam_1364740/2020,Netherlands,"Rotterdam, Netherlands",2020-03-03,70,4.488595428701715,51.9278469
Portugal/CV62/2020,Portugal,"?, Portugal",2020-03-01,68,-7.8896263,40.0332629
Netherlands/Utrecht_10/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Overijssel_1/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Utrecht_4/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/NoordBrabant_2/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Limburg_2/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Utrecht_7/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
