strain,country,location,date,day_occurence,lon,lat
Australia/QLD01/2020,Australia,"Gold Coast, Australia",2020-01-28,35,153.4145987,-28.0023731
Guangdong/2020XN4243-P0035/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
Singapore/4/2020,Singapore,"Singapore, Singapore",2020-02-03,41,103.8194992,1.357107
Beijing/233/2020,China,"?, China",2020-01-28,35,104.999927,35.000074
SouthKorea/KCDC07/2020,South Korea,"?, South Korea",2020-01-31,38,127.6961188,36.638392
SouthKorea/KUMC01/2020,South Korea,"?, South Korea",2020-02-06,44,127.6961188,36.638392
Beijing/231/2020,China,"?, China",2020-01-28,35,104.999927,35.000074
Beijing/235/2020,China,"?, China",2020-01-28,35,104.999927,35.000074
Beijing/105/2020,China,"?, China",2020-01-26,33,104.999927,35.000074
SouthKorea/KCDC03/2020,South Korea,"Gyeonggi, South Korea",2020-01-25,32,127.0095,37.2752
SouthKorea/KCDC06/2020,South Korea,"?, South Korea",2020-01-30,37,127.6961188,36.638392
SouthKorea/KUMC05/2020,South Korea,"?, South Korea",2020-02-27,65,127.6961188,36.638392
